$ ./trec_eval -q qrels_covid.txt  graph.txt
P_30                    Q17     0.6667
P_100                   Q17     0.6700
P_200                   Q17     0.6100
P_500                   Q17     0.4540
P_1000                  Q17     0.3160
num_ret                 Q18     1000
num_rel                 Q18     628
num_rel_ret             Q18     354
map                     Q18     0.3417
Rprec                   Q18     0.4506
bpref                   Q18     0.5194
recip_rank              Q18     1.0000
iprec_at_recall_0.00    Q18     1.0000
iprec_at_recall_0.10    Q18     0.8023
iprec_at_recall_0.20    Q18     0.7095
iprec_at_recall_0.30    Q18     0.5492
iprec_at_recall_0.40    Q18     0.4903
iprec_at_recall_0.50    Q18     0.3965
iprec_at_recall_0.60    Q18     0.0000
iprec_at_recall_0.70    Q18     0.0000
iprec_at_recall_0.80    Q18     0.0000
iprec_at_recall_0.90    Q18     0.0000
iprec_at_recall_1.00    Q18     0.0000
P_5                     Q18     0.4000
P_10                    Q18     0.7000
P_15                    Q18     0.8000
P_20                    Q18     0.8500
P_30                    Q18     0.8667
P_100                   Q18     0.7800
P_200                   Q18     0.6850
P_500                   Q18     0.4900
P_1000                  Q18     0.3540
num_ret                 Q19     1000
num_rel                 Q19     111
num_rel_ret             Q19     42
map                     Q19     0.1623
Rprec                   Q19     0.2523
bpref                   Q19     0.2697
recip_rank              Q19     1.0000
iprec_at_recall_0.00    Q19     1.0000
iprec_at_recall_0.10    Q19     0.6400
iprec_at_recall_0.20    Q19     0.3770
iprec_at_recall_0.30    Q19     0.2024
iprec_at_recall_0.40    Q19     0.0000
iprec_at_recall_0.50    Q19     0.0000
iprec_at_recall_0.60    Q19     0.0000
iprec_at_recall_0.70    Q19     0.0000
iprec_at_recall_0.80    Q19     0.0000
iprec_at_recall_0.90    Q19     0.0000
iprec_at_recall_1.00    Q19     0.0000
P_5                     Q19     0.6000
P_10                    Q19     0.7000
P_15                    Q19     0.6667
P_20                    Q19     0.6000
P_30                    Q19     0.5667
P_100                   Q19     0.2700
P_200                   Q19     0.1750
P_500                   Q19     0.0820
P_1000                  Q19     0.0420
num_ret                 Q20     1000
num_rel                 Q20     702
num_rel_ret             Q20     386
map                     Q20     0.3232
Rprec                   Q20     0.4801
bpref                   Q20     0.4930
recip_rank              Q20     1.0000
iprec_at_recall_0.00    Q20     1.0000
iprec_at_recall_0.10    Q20     0.6667
iprec_at_recall_0.20    Q20     0.6255
iprec_at_recall_0.30    Q20     0.5914
iprec_at_recall_0.40    Q20     0.5184
iprec_at_recall_0.50    Q20     0.4706
iprec_at_recall_0.60    Q20     0.0000
iprec_at_recall_0.70    Q20     0.0000
iprec_at_recall_0.80    Q20     0.0000
iprec_at_recall_0.90    Q20     0.0000
iprec_at_recall_1.00    Q20     0.0000
P_5                     Q20     0.6000
P_10                    Q20     0.7000
P_15                    Q20     0.8000
P_20                    Q20     0.8000
P_30                    Q20     0.8000
P_100                   Q20     0.6700
P_200                   Q20     0.6350
P_500                   Q20     0.5400
P_1000                  Q20     0.3860
num_ret                 Q21     1000
num_rel                 Q21     630
num_rel_ret             Q21     176
map                     Q21     0.1002
Rprec                   Q21     0.2143
bpref                   Q21     0.2644
recip_rank              Q21     1.0000
iprec_at_recall_0.00    Q21     1.0000
iprec_at_recall_0.10    Q21     0.3728
iprec_at_recall_0.20    Q21     0.2414
iprec_at_recall_0.30    Q21     0.0000
iprec_at_recall_0.40    Q21     0.0000
iprec_at_recall_0.50    Q21     0.0000
iprec_at_recall_0.60    Q21     0.0000
